# Tontine liability run-off - PLACEHOLDER actuarial basis
#
# Exported from SLC_Tontine_Indicative_Model.xlsx (August 2026) by
# validation/extract_tontine_runoff.py.
#
# Population mortality (ONS 2021-23, Gompertz-Makeham fit) with CMI-style
# improvements at 1.25% p.a. This is NOT an annuitant basis: real annuitants
# self-select for longevity and live longer, so this curve UNDERSTATES the
# liability and should be read as a favourable bound.
#
# REPLACE THIS FILE when the Department of Actuarial Mathematics dataset
# arrives (expected September 2026). Nothing else has to change - the release
# rule reads this curve, so re-exporting it re-runs the whole model.
#
# Columns
#   fund_year            years since the first Tontine drawdown (0 = first year)
#   lives_index          annuitants alive, relative to the first year's cohort.
#                        RISES during the investment phase as new cohorts join
#                        (peaking near 9.5x around year 9), then runs off to
#                        approximately zero by year 60. It is an index, not a
#                        survivorship fraction.
#   tp_per_pound_raised  technical provisions per GBP 1 of capital raised, in
#                        real terms, including the expense reserve
#   cohort_survivorship  lx for a SINGLE entry cohort: the probability an
#                        investor entering at 65 is still alive this many
#                        years later. This is what drives the charge, since
#                        a charge is released when its own investor dies.
#                        Taken from the first cohort; later cohorts see
#                        slightly lighter mortality thanks to improvements,
#                        so using one curve for all marginally OVERSTATES
#                        deaths and therefore releases.
fund_year,lives_index,tp_per_pound_raised,cohort_survivorship
0,1.0000000000,0.0434422842,1.0000000000
1,1.9903225552,0.0852765973,0.9903225552
2,2.9702323371,0.1255012324,0.9797888138
3,3.9389352480,0.1641165183,0.9683320858
4,4.8955761370,0.2011250154,0.9558829918
5,5.8392369493,0.2365317188,0.9423699377
6,6.7689354577,0.2703442675,0.9277197541
7,7.6836247526,0.3025731570,0.9118585328
8,8.5821936921,0.3332319508,0.8947126897
9,9.4634685445,0.3623374848,0.8762102883
10,9.3262160845,0.3445647667,0.8562826555
11,9.1776820184,0.3268590708,0.8348663207
12,9.0171898332,0.3092527546,0.8119053044
13,8.8440791227,0.2917804780,0.7873537730
14,8.6577201491,0.2744791656,0.7611790661
15,8.4575311396,0.2573879220,0.7333650820
16,8.2429984736,0.2405478936,0.7039159826
17,8.0136998312,0.2240020676,0.6728601477
18,7.7693302420,0.2077949995,0.6402542658
19,7.5097308021,0.1919724608,0.6061874004
20,7.2349196011,0.1765809995,0.5707848160
21,6.9451241194,0.1616674092,0.5342112839
22,6.6408140303,0.1472781020,0.4966735309
23,6.3227329604,0.1334583885,0.4584214374
24,5.9919273684,0.1202516687,0.4197475528
25,5.6497703044,0.1076985471,0.3809844878
26,5.2979774670,0.0958358896,0.3424997756
27,4.9386127403,0.0846958494,0.3046878830
28,4.5740803276,0.0743048955,0.2679592180
29,4.2071008008,0.0646828860,0.2327262178
30,3.8406689038,0.0558422355,0.1993869207
31,3.4779918641,0.0477872269,0.1683068046
32,3.1224082826,0.0405135234,0.1398000695
33,2.7772893563,0.0340079281,0.1141119057
34,2.4459261239,0.0282484332,0.0914035371
35,2.1314084125,0.0232045861,0.0717418728
36,1.8365029351,0.0188381785,0.0550953755
37,1.5635392147,0.0151042461,0.0413372167
38,1.3143124109,0.0119523387,0.0302559546
39,1.0900114588,0.0093280009,0.0215729594
40,0.8911791625,0.0071743832,0.0149647763
41,0.7177081502,0.0054338924,0.0100878059
42,0.5688732591,0.0040497876,0.0066022973
43,0.4433974535,0.0029676334,0.0041928180
44,0.3395453235,0.0021365352,0.0025830979
45,0.2552359671,0.0015101032,0.0015442503
46,0.1881658636,0.0010471130,0.0008965910
47,0.1359322025,0.0007118576,0.0005062843
48,0.0961478927,0.0004742058,0.0002786252
49,0.0665409243,0.0003094024,0.0001498473
50,0.0450326829,0.0001976615,0.0000790143
51,0.0297920708,0.0001236110,0.0000410028
52,0.0192646976,0.0000756515,0.0000210244
53,0.0121787779,0.0000452875,0.0000106961
54,0.0075314335,0.0000264833,0.0000054207
55,0.0045605561,0.0000150797,0.0000027467
56,0.0027080232,0.0000082968,0.0000013959
57,0.0015798149,0.0000043307,0.0000007135
58,0.0009075862,0.0000020444,0.0000003651
59,0.0005148296,0.0000007401,0.0000001891
60,0.0002892084,0.0000000000,0.0000000991
